,x
6743,PRCal3
7501,PRCal4
10536,PRCal5
11135,PRCal7
11731,PRCal6
12115,PRCal1
13459,PRCpl1
14162,PRCpl2
15519,PRCpr2
16668,PRCpr1
16719,MS1
19515,PRCpr3
22159,IN1al
22876,PRCpr4
23921,PRCar1
24659,PRCar2
24849,PRCar3
25010,PRCar4
26163,PRCar5
27064,PRCar6
27917,PRCar7
32142,IN1pl
32460,INtonl1
34044,IN1ar
34371,INipsidesc_sg1l
35154,INvc_r2
37580,IN1pr
40141,INintr4
41848,INpear_l2
44863,SN_DLSO1.1_1l_NP_l
45548,INpreMN3l
48718,INintr5
54090,INsn_r1
54909,INdecuss_l 54909
54919,INhead_r; INintr6
55057,INATO_pygl
55225,INcommascL_FMRFa_sg2r
55238,INintl4
55935,INtonl2
56100,INantlercurve 56101
57341,eyespot_PRCr_R3
57508,IN 57509
57553,INsn_l2
58694,PRCpl3
58877,PRCpl4
58968,PRCpl5
59671,PRCpr5
60061,MC
64258,MS4
67795,INR1_l2
68613,INtonr1
71248,INtonr2
71800,INsplit_sg1 r 1316197
73027,INvc_l5 73028 
73059,INintl5
73954,INdc_l1
74477,INsnl_l
77507,SNhookl
77552,SNaant_3l
77730,SNaant_1l
81251,SN_IRP2-burs
84457,crescentcell
85530,cMNPDF-vcl1
85723,IN_FMRFa-_right5_withSoma
92619,INpro_l1
101233,prototroch_4clock_A
106879,INdesc_l 106879
108173,INproT2_r1; INpro_r4
108826,MNl1
110892,INipsiasc_sg1l 110893
111231,INdecuss_r 111232
111828,IN PDF-left1 target 111829
111948,INdecussPDF_r 111949
113999,Ser-h1l
115486,MS3l
117385,INCrossbow__l
118101,MS3r
119436,INCrossbow_r
120363,INcommFMRFa_sg1l
135113,MNVNC_1A_sg2l
137882,MUSlong_D_sg0r_7
139142,MS5l
139303,doCRunp
139543,MS5r
140828,MNr1
143674,prototroch_3clock_A
144261,cioMNcover_l1
147361,INcomm_sg1l 147361
151847,PRCal2
153151,hCR2r
154304,INsplit_sg1r 154304
156947,hCirrusPUc1r
159489,SN antenna_right11
160141,antPUc1r
161743,INrope_r1
162347,closetoMC
167009,akrotroch_l3
167671,eyespot_PRCl_R3
168075,akrotroch_l4
169574,IN 169575
170458,flat glia 170458
171166,akrotroch_r2
172769,INsplitPBant_sg1l
174199,hPUc1l
174256,prototroch_10clock_A
174545,prototroch_12clock_A
175367,prototroch_12clock_P
177343,hPUc1r
180202,prototroch_10clock_P
180953,prototroch_11clock
181663,hPUc3l
183077,hPUc2l
183731,prototroch_9clock_A
184848,prototroch_8clock_P
184928,prototroch_8clock_A
185521,INipsidesc_sg1 185521
185562,hPUc3r
186240,prototroch_7clock_A
188036,prototroch_9clock_P
